Number of Vehicles,Road Surface,Lighting Conditions,Weather Conditions,Casualty Victim,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
3,2,1,3,1,1,1,31,6
1,1,2,1,2,1,2,31,6
1,2,2,3,3,1,2,3,4
1,2,2,3,3,1,2,4,4
2,1,2,1,1,1,2,27,4
2,1,2,1,1,1,2,30,4
1,2,2,3,1,1,1,32,4
1,1,1,1,1,1,1,23,4
2,1,1,1,1,1,1,23,4
2,1,1,1,1,1,1,45,6
2,1,1,1,2,1,1,53,6
2,1,1,1,2,1,2,36,6
2,1,1,1,2,1,2,43,6
2,2,1,3,1,2,1,47,2
2,1,1,1,1,1,2,55,4
2,1,1,1,1,1,1,26,4
1,2,1,3,3,2,2,83,4
2,2,1,1,1,2,1,17,2
1,2,2,3,3,1,2,46,4
2,2,2,2,1,1,2,24,4
2,2,3,3,1,1,2,38,4
1,2,2,3,3,1,2,30,4
1,2,2,3,3,1,1,14,4
3,3,2,5,1,1,2,33,4
2,3,2,5,2,1,2,80,4
2,1,2,1,1,1,1,27,2
2,1,1,1,1,1,1,39,4
2,1,1,1,2,1,2,15,4
2,1,1,1,2,1,2,12,4
2,2,1,3,1,1,2,70,4
2,2,1,3,1,1,1,30,4
1,2,2,2,3,1,2,9,4
2,2,2,2,1,1,1,44,4
2,1,2,1,1,1,2,19,4
2,1,2,1,1,1,2,35,2
1,2,1,1,3,1,2,42,4
3,2,1,2,1,1,1,51,4
3,2,1,2,1,1,1,46,4
2,2,2,2,1,1,1,38,4
1,2,2,2,3,1,1,21,4
1,1,1,1,1,1,2,24,4
2,2,1,1,1,1,1,36,4
2,2,1,1,1,1,1,71,4
2,2,1,1,2,1,2,66,4
1,2,1,1,3,1,1,11,4
1,1,2,1,3,2,2,14,2
1,1,2,1,1,1,1,18,2
3,1,2,1,2,1,2,11,4
3,2,2,1,1,1,2,51,4
2,2,2,1,1,1,1,30,4
2,2,2,1,2,1,2,19,4
3,1,1,1,1,1,1,18,4
2,1,1,1,1,1,1,28,4
1,1,2,1,1,1,1,23,4
2,2,1,1,2,1,2,33,4
2,2,1,1,2,1,2,14,4
2,1,2,1,1,1,1,55,4
1,2,2,2,3,1,2,56,4
2,2,2,1,1,1,1,27,2
2,2,2,1,1,2,1,47,2
2,2,2,2,1,1,1,24,4
3,2,1,1,1,1,1,53,6
3,2,1,1,1,1,1,54,6
2,2,1,1,1,1,2,24,4
2,1,1,1,1,1,2,37,4
2,2,1,2,1,1,1,36,2
2,2,1,2,1,1,2,37,6
2,2,1,2,2,1,1,20,6
1,2,1,1,3,1,1,32,4
2,1,1,1,1,1,2,27,4
2,1,2,1,1,1,2,61,4
2,1,2,1,1,1,2,31,4
2,1,2,1,2,1,2,19,4
3,1,1,1,1,1,1,27,2
2,2,1,1,1,1,2,37,2
2,1,1,1,1,1,1,61,2
2,2,2,1,2,1,1,23,4
3,1,1,1,1,1,2,20,4
3,1,1,1,2,1,2,39,4
3,1,1,1,2,1,2,20,6
3,1,1,1,2,1,1,16,6
3,1,1,1,2,1,2,21,6
3,1,2,1,1,1,1,26,4
2,1,1,1,1,1,1,23,4
2,1,1,1,2,1,2,29,6
2,1,1,1,2,1,1,48,6
1,1,1,1,3,1,2,19,6
3,2,2,1,1,1,1,21,2
2,2,2,1,1,1,1,23,2
3,2,2,1,1,1,1,32,6
3,2,2,1,1,1,1,45,4
3,2,2,1,1,1,1,56,4
2,2,2,1,1,1,1,49,6
2,2,2,1,1,1,1,20,4
3,2,1,1,1,1,1,25,4
3,2,1,1,1,1,1,37,4
2,1,2,1,1,1,1,25,2
1,2,1,1,2,1,2,61,4
1,2,1,1,3,2,1,29,4
2,2,1,1,1,1,2,19,4
1,1,1,1,1,1,1,69,4
2,1,1,1,1,1,1,52,4
2,2,1,1,1,1,2,63,4
2,2,2,2,1,1,2,22,4
2,2,2,2,1,1,2,20,4
1,2,2,1,2,2,1,22,4
2,1,1,1,2,1,2,71,4
1,2,1,2,1,2,1,26,2
5,1,1,1,1,1,1,20,4
4,2,1,2,1,1,1,49,4
4,2,1,2,1,1,2,25,4
4,2,1,2,2,1,2,3,4
4,2,1,2,2,1,2,30,4
2,2,1,1,1,1,2,25,4
2,2,1,1,2,1,2,51,4
1,2,2,3,1,1,2,23,4
2,2,2,3,1,1,1,30,4
1,1,2,2,3,1,2,15,4
2,2,2,3,2,1,2,25,4
2,2,1,3,1,1,2,50,4
2,2,1,3,1,1,1,35,6
2,2,1,3,1,1,1,32,4
2,2,1,2,1,1,2,35,4
2,2,1,2,2,1,2,34,4
2,2,1,2,1,1,2,60,4
2,2,1,3,2,1,2,10,4
2,2,2,3,1,1,1,33,2
2,2,2,2,1,2,1,43,2
1,2,1,1,3,1,2,14,2
2,2,1,2,1,1,1,15,2
1,2,1,2,1,1,2,66,4
1,2,1,2,3,1,2,19,4
1,2,2,2,2,1,1,1,6
2,1,2,1,1,1,1,22,4
2,2,1,2,1,1,1,31,4
2,2,2,1,1,1,1,42,4
2,2,2,1,2,1,1,20,4
2,2,2,3,1,1,1,17,4
1,2,2,1,3,1,2,25,4
3,2,1,1,1,2,1,26,4
3,2,1,1,1,1,2,81,4
2,2,1,1,1,2,2,38,4
2,2,1,1,1,1,1,24,6
2,2,1,1,1,1,1,43,4
2,1,2,1,2,1,2,16,6
2,1,2,1,2,1,1,25,6
2,1,2,1,2,1,2,22,6
4,2,2,1,1,1,2,22,4
2,1,1,1,1,1,2,32,4
2,1,2,1,1,1,1,23,4
2,1,1,1,1,1,1,26,2
1,1,1,1,3,1,1,11,4
1,1,2,1,3,2,1,18,4
2,2,1,2,1,1,1,57,2
1,2,1,1,2,1,2,87,6
2,1,1,1,1,1,1,23,4
2,2,2,2,1,1,2,25,4
2,2,2,3,1,1,1,23,4
2,2,2,3,1,1,1,30,4
4,2,2,2,1,1,1,48,4
4,2,2,2,1,1,1,29,4
4,2,2,2,2,1,2,26,4
3,1,2,1,1,1,1,23,4
2,1,1,1,2,1,2,75,4
2,1,1,1,1,1,1,75,4
2,1,1,1,1,1,1,55,4
1,1,1,1,3,1,2,59,4
2,1,1,1,1,1,2,30,4
2,1,1,1,2,1,2,1,4
1,1,1,1,3,1,2,14,4
1,1,2,1,3,1,1,62,6
2,1,2,1,1,1,1,23,2
2,1,2,1,2,2,1,20,2
2,1,2,1,1,2,1,19,2
2,2,1,1,1,1,2,30,4
2,2,1,1,2,1,2,40,4
2,2,1,1,1,1,2,30,4
2,2,1,1,1,1,1,22,4
2,2,1,1,1,1,1,26,4
2,2,1,1,1,1,1,25,4
1,2,2,1,1,1,1,20,4
1,2,2,1,2,1,1,18,4
2,1,2,1,1,1,2,23,2
1,1,1,1,3,1,2,14,4
1,1,3,1,1,1,2,27,4
2,1,2,1,1,1,1,63,4
1,2,1,1,2,1,1,9,4
2,1,3,1,2,1,1,16,4
2,2,3,1,2,1,2,90,4
2,1,2,1,1,1,2,27,2
3,2,2,1,1,1,1,46,4
2,2,2,1,2,2,1,18,4
2,2,2,1,1,1,1,18,4
2,2,2,1,2,1,2,18,4
2,2,2,2,1,1,1,36,4
1,1,2,5,3,1,1,13,4
1,1,1,1,2,1,2,64,6
2,2,1,1,1,1,1,28,2
1,1,1,1,3,1,1,37,4
2,2,1,1,1,1,2,35,4
2,2,2,2,2,1,1,2,4
2,2,2,2,1,1,2,36,4
4,2,2,1,2,1,2,11,4
1,1,1,1,3,2,1,14,4
2,1,1,1,1,1,1,23,6
2,2,2,1,1,1,1,42,4
2,2,2,3,1,1,1,18,2
2,2,3,3,1,2,2,22,2
2,1,1,1,1,1,1,36,4
2,1,1,1,1,2,2,26,4
2,1,1,1,1,1,2,21,4
2,2,2,2,1,1,2,27,4
1,1,1,1,2,1,2,88,6
3,2,1,1,1,1,1,35,4
3,2,1,1,2,1,1,36,4
4,1,1,1,1,1,2,60,4
1,2,2,5,3,2,1,51,6
3,2,2,1,1,1,1,69,4
3,2,2,1,2,1,1,67,4
3,2,2,1,2,1,1,29,4
3,2,2,1,2,1,1,79,4
2,1,1,1,1,1,1,19,4
2,1,1,1,2,1,1,19,4
1,1,1,1,3,2,1,60,4
1,1,1,1,2,1,1,83,6
2,2,1,1,1,1,2,25,4
1,1,1,1,2,1,2,35,6
1,2,2,2,3,1,2,19,4
2,1,2,1,1,1,2,37,4
1,1,3,1,2,1,2,19,4
3,1,2,1,1,1,2,26,4
2,2,1,2,2,1,1,16,4
2,2,1,2,2,1,1,21,4
2,2,1,1,1,1,1,17,2
2,2,1,3,1,1,2,39,4
2,2,1,3,1,1,1,40,4
2,2,1,3,2,1,1,16,4
1,2,1,3,1,1,1,18,4
2,1,3,1,1,1,1,32,4
1,2,2,1,3,1,2,49,4
2,2,3,4,1,1,1,58,4
2,2,3,4,1,1,1,24,2
1,2,2,1,3,1,1,18,4
2,2,1,1,2,1,1,8,4
2,2,1,1,1,1,2,36,4
3,1,1,1,1,1,2,20,4
3,2,2,1,1,1,2,37,4
2,1,2,1,1,1,1,50,2
2,2,1,2,1,2,1,24,2
2,1,1,1,1,1,1,29,4
2,1,3,1,1,1,1,39,4
2,2,1,4,1,1,1,25,4
2,2,1,4,2,1,1,62,4
2,2,1,4,2,1,2,21,4
2,2,2,4,1,1,1,34,2
3,2,2,1,1,1,1,59,4
2,2,2,1,3,1,2,47,4
2,2,1,1,1,1,2,26,4
2,2,1,1,1,1,1,49,4
2,2,1,1,1,1,1,62,4
1,2,1,2,1,1,1,48,4
2,1,1,1,2,1,1,54,4
1,1,1,1,2,2,2,81,6
2,1,1,1,1,1,1,66,4
2,1,1,1,2,2,2,21,4
2,1,1,1,1,1,1,43,4
2,1,2,1,1,1,2,51,4
2,2,2,1,1,1,2,31,4
2,1,1,1,1,1,2,47,4
2,1,1,1,1,1,2,30,4
1,1,1,1,3,2,2,85,4
2,1,1,1,1,2,2,26,2
2,2,2,1,2,1,1,51,4
2,2,2,1,2,1,1,47,4
2,2,2,1,2,1,1,64,4
2,2,2,1,2,1,1,67,4
2,2,2,5,1,1,1,22,2
2,1,1,1,1,1,1,52,2
1,1,1,1,3,1,2,44,4
1,1,1,1,3,1,1,65,4
1,1,2,1,3,2,1,81,4
3,2,2,1,2,1,2,17,4
3,1,2,1,2,1,2,52,4
1,1,2,1,2,1,2,13,4
2,1,1,1,2,1,2,80,6
1,2,1,1,3,1,2,14,4
4,2,1,1,1,1,2,58,4
2,2,1,1,1,1,2,42,4
2,2,1,1,1,1,2,44,4
2,2,1,1,1,1,1,69,4
2,1,2,1,1,1,1,35,6
2,1,1,1,3,2,1,9,4
3,2,1,1,2,1,2,47,4
1,2,2,2,3,1,2,68,4
2,2,1,1,1,1,2,49,4
2,2,2,1,1,1,1,27,2
1,2,2,2,2,1,1,7,6
1,2,2,1,3,2,1,45,4
2,2,1,1,1,1,1,24,4
2,2,1,1,1,1,1,36,4
2,2,1,1,1,1,1,30,2
1,1,1,1,3,1,1,70,4
2,1,1,1,1,1,1,49,4
2,1,1,1,1,1,2,54,4
1,1,1,1,2,1,1,6,6
1,1,1,1,3,1,2,15,4
2,1,2,1,1,1,1,24,4
2,1,2,1,1,1,2,52,4
1,2,2,2,3,1,2,42,4
1,2,1,1,3,1,1,9,4
5,1,2,1,1,1,2,30,4
5,1,2,1,2,1,2,28,4
5,1,2,1,1,1,1,37,4
5,1,2,1,2,1,1,14,4
5,1,2,1,1,1,2,18,4
5,1,2,1,1,1,1,35,4
5,1,2,1,1,1,1,31,4
5,1,2,1,2,1,2,31,4
2,2,2,1,1,1,1,40,4
2,2,1,2,1,1,2,57,4
2,1,1,1,2,1,2,58,4
2,1,1,1,1,1,2,46,4
2,1,2,1,2,1,2,42,4
1,2,3,1,3,1,2,17,4
1,2,3,1,3,1,1,17,4
3,2,1,2,1,2,2,44,2
1,2,3,2,1,1,1,37,4
1,2,3,2,2,1,2,55,4
2,2,3,2,1,1,1,55,4
1,2,2,2,2,1,2,19,4
2,2,2,2,1,1,1,30,4
2,2,1,2,1,1,1,43,0
2,2,1,2,2,1,1,39,0
2,2,1,2,1,1,1,40,4
2,2,1,2,2,1,2,34,4
2,2,1,1,2,1,2,48,6
1,2,1,2,1,1,2,59,4
1,2,1,2,1,1,2,41,4
1,2,1,2,2,1,1,12,4
1,2,1,3,3,1,2,4,4
2,1,2,1,1,2,1,43,2
3,2,2,3,1,1,1,34,4
3,2,2,3,1,1,1,33,4
2,2,2,2,2,1,2,1,4
2,2,2,2,2,1,2,21,4
1,2,1,2,1,1,1,21,4
2,2,1,1,1,1,2,22,4
2,2,1,1,1,2,1,46,2
1,2,2,1,1,1,1,24,4
1,2,1,2,3,1,2,61,4
1,2,2,1,3,1,2,75,4
1,2,1,2,3,2,1,61,4
2,2,1,1,1,1,2,83,4
2,2,2,1,1,1,1,46,6
1,2,1,1,2,1,2,89,6
3,2,2,2,1,1,1,30,4
3,2,2,2,1,1,1,26,4
3,2,2,2,2,1,1,23,4
3,2,2,2,2,1,2,21,4
3,2,2,2,2,1,1,4,4
3,2,2,2,2,1,2,4,4
2,1,2,1,1,1,2,23,4
2,1,2,1,2,1,2,23,4
1,1,2,1,3,1,2,76,4
2,1,2,1,1,1,1,55,2
