Number of Vehicles,Road Surface,Lighting Conditions,Weather Conditions,Casualty Victim,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
2,1,1,1,1,1,1,33,4
2,1,1,1,1,1,2,42,4
2,1,1,1,1,1,1,25,2
1,1,1,1,1,1,2,37,4
2,1,1,1,2,1,2,20,4
3,1,1,1,1,1,1,27,4
3,1,1,1,2,1,1,30,4
2,1,1,1,1,1,2,51,2
2,1,1,1,1,1,2,47,4
2,1,1,1,2,1,1,2,6
2,1,1,1,2,1,2,19,6
1,1,1,1,1,1,1,32,4
1,1,1,1,2,1,2,87,4
2,1,1,1,2,1,2,17,4
2,1,1,1,1,1,2,67,4
2,1,1,1,1,1,2,25,4
2,1,1,1,2,1,2,5,4
3,1,1,1,1,1,2,33,4
2,1,1,1,1,2,1,37,4
2,1,1,1,1,2,1,24,4
2,1,1,1,2,2,2,16,4
2,1,1,1,1,1,1,61,2
1,1,1,1,3,1,2,31,4
2,1,1,1,1,1,2,34,4
2,1,1,1,1,1,2,33,4
2,1,1,1,1,1,2,12,2
1,1,1,1,3,1,1,3,4
1,1,2,1,1,1,1,32,4
1,1,1,1,3,1,1,3,4
1,1,1,1,3,2,1,7,4
2,1,1,1,2,1,2,12,4
2,1,1,1,1,1,1,38,2
1,1,1,1,2,1,1,35,6
1,1,1,1,2,1,2,80,6
1,1,1,1,2,1,2,25,6
2,1,1,1,1,1,1,63,4
2,1,1,1,1,1,1,55,2
2,1,1,1,1,1,1,30,4
2,1,1,1,1,1,1,42,2
2,1,1,1,1,1,2,51,4
1,1,1,1,3,2,1,11,4
1,1,1,1,3,2,2,53,4
2,1,1,1,2,1,2,51,6
3,1,1,1,1,1,2,23,4
3,1,1,1,1,1,2,27,4
3,1,1,1,1,1,2,37,4
2,1,1,1,1,1,1,18,2
2,1,1,1,1,1,2,19,4
2,1,1,1,2,1,2,18,4
3,1,1,1,1,1,2,31,4
3,1,1,1,2,1,2,9,4
2,1,1,1,1,2,1,59,2
1,1,1,1,2,1,2,44,6
1,1,1,1,1,2,1,20,2
2,1,1,1,1,1,1,49,6
2,1,1,1,2,1,2,53,6
2,1,1,1,2,1,2,57,6
3,1,1,1,1,1,2,83,4
2,1,1,1,1,2,1,16,2
3,1,1,1,1,1,1,54,4
3,1,1,1,2,1,1,42,4
1,1,1,1,3,1,1,55,6
1,1,1,1,3,1,1,4,4
2,1,1,1,1,2,1,84,4
2,1,1,1,1,2,1,40,4
1,1,1,4,1,1,1,37,6
1,1,1,4,2,1,2,31,6
2,1,1,1,1,2,1,42,2
