Number of Vehicles,1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,15,Pedal cycle
5,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,40,Car
5,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,36,Car
2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,53,Car
2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,45,Car
3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,27,Motorcycle over 50cc and up to 125cc
1,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,62,Motorcycle over 500cc
2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,23,Car
2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,34,Car
1,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,48,Pedal cycle
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,26,Car
3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Female,27,Car
2,C,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,42,Car
3,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,37,Pedal cycle
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,28,Car
3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,35,Bus or coach (17 or more passenger seats)
3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,5,Bus or coach (17 or more passenger seats)
3,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,44,Car
2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,31,Pedal cycle
2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,26,Car
2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,23,Car
2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,50,Pedal cycle
1,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,32,Goods vehicle 3.5 tonnes mgw and under
2,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Serious,Male,22,Motorcycle over 50cc and up to 125cc
1,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Slight,Female,85,Car
1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,51,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,56,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,54,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,74,Car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,18,Car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,25,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,16,M/cycle 50cc and under
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,49,Motorcycle over 500cc
3,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,27,Car
6,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,46,Car
6,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,52,Car
6,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,26,Car
6,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,17,Car
2,Unclassified,Flood (surface water over 3cm deep),Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,33,Taxi/Private hire car
2,Unclassified,Flood (surface water over 3cm deep),Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,20,Car
2,Unclassified,Flood (surface water over 3cm deep),Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,18,Car
3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,17,Pedal cycle
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,27,Bus or coach (17 or more passenger seats)
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,50,Car
3,A(M),Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,40,Car
2,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,4,Car
2,B,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,82,Car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,68,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,24,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,26,Car
2,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,55,Car
2,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,26,Car
2,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,19,Car
2,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,10,Car
2,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,29,Car
2,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,18,Car
2,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,23,Car
2,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,45,Car
2,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,47,Car
2,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,13,Car
1,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Male,21,Car
1,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Serious,Male,29,Car
2,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Female,54,Pedal cycle
2,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,21,Motorcycle over 50cc and up to 125cc
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,31,Car
1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Male,20,Taxi/Private hire car
2,Motorway,Wet / Damp,Darkness: no street lighting,Raining without high winds,Driver/Rider,Slight,Male,21,Goods vehicle 3.5 tonnes mgw and under
2,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,15,Pedal cycle
2,Unclassified,Dry,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Female,38,Car
1,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,60,Taxi/Private hire car
2,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,64,Taxi/Private hire car
2,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,75,Bus or coach (17 or more passenger seats)
2,Motorway,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Male,28,Car
2,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Female,20,Pedal cycle
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,19,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,18,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,20,Car
2,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,16,Motorcycle over 50cc and up to 125cc
2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,28,Car
2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,19,Car
2,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Serious,Male,20,Motorcycle over 50cc and up to 125cc
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,28,Pedal cycle
2,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,24,Car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,22,Motorcycle over 50cc and up to 125cc
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,13,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,12,Car
1,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Male,46,Bus or coach (17 or more passenger seats)
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,80,Bus or coach (17 or more passenger seats)
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,70,Bus or coach (17 or more passenger seats)
1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,28,Motorcycle over 50cc and up to 125cc
1,A,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver/Rider,Slight,Male,24,Car
2,B,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,25,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,30,Car
1,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,23,Car
1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,33,Taxi/Private hire car
2,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,50,Car
5,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,8,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,23,Pedal cycle
1,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,28,Taxi/Private hire car
1,B,Wet / Damp,Darkness: street lights present and lit,Fog or mist – if hazard,Pedestrian,Fatal,Male,22,Taxi/Private hire car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,27,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,45,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,36,Car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,13,Car
4,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,38,Car
4,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,47,Goods vehicle 7.5 tonnes mgw and over
4,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,45,Car
3,A(M),Wet / Damp,Darkness: street lights present and lit,Fog or mist – if hazard,Driver/Rider,Slight,Male,53,Car
3,A(M),Wet / Damp,Darkness: street lights present and lit,Fog or mist – if hazard,Driver/Rider,Slight,Male,43,Car
3,A(M),Wet / Damp,Darkness: street lights present and lit,Fog or mist – if hazard,Driver/Rider,Slight,Female,19,Car
1,Unclassified,Dry,Darkness: street lights present and lit,Fog or mist – if hazard,Pedestrian,Slight,Male,14,Car
1,Unclassified,Dry,Darkness: street lights present and lit,Fog or mist – if hazard,Pedestrian,Slight,Male,15,Car
2,Motorway,Wet / Damp,Darkness: street lights present and lit,Fog or mist – if hazard,Driver/Rider,Slight,Male,38,Car
2,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,20,Car
2,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,23,Car
2,A,Wet / Damp,Daylight: street lights present,Fog or mist – if hazard,Driver/Rider,Slight,Male,36,Pedal cycle
2,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,83,Car
1,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,33,Car
2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,55,Car
2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,30,Pedal cycle
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,18,Taxi/Private hire car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,57,Bus or coach (17 or more passenger seats)
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,45,Car
2,B,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,24,Car
2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,40,Pedal cycle
2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,16,Car
1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,62,Bus or coach (17 or more passenger seats)
2,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,31,Car
1,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,71,Car
2,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Fatal,Male,75,Car
2,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Serious,Female,72,Car
4,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,28,Car
4,Motorway,Wet / Damp,Darkness: street lights present and lit,Other,Driver/Rider,Serious,Female,35,Car
4,Motorway,Wet / Damp,Darkness: street lights present and lit,Other,Driver/Rider,Slight,Male,47,Goods vehicle 7.5 tonnes mgw and over
4,Motorway,Wet / Damp,Darkness: street lights present and lit,Other,Driver/Rider,Slight,Male,55,Car
4,Motorway,Wet / Damp,Darkness: street lights present and lit,Other,Driver/Rider,Slight,Male,53,Goods vehicle 7.5 tonnes mgw and over
1,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,25,Car
2,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,24,Motorcycle over 50cc and up to 125cc
2,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,33,Taxi/Private hire car
2,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,17,Taxi/Private hire car
2,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,17,Taxi/Private hire car
2,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,56,Taxi/Private hire car
2,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,47,Car
1,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Slight,Male,56,Goods vehicle 3.5 tonnes mgw and under
2,B,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Serious,Male,13,Pedal cycle
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,20,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,18,Car
1,A(M),Flood (surface water over 3cm deep),Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,31,Car
1,A(M),Flood (surface water over 3cm deep),Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,26,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,7,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,42,Car
2,Unclassified,Wet / Damp,Daylight: street lights present,Fine with high winds,Passenger,Slight,Female,18,Car
1,Unclassified,Dry,Daylight: street lights present,Fine with high winds,Pedestrian,Slight,Female,24,Car
2,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Serious,Male,29,Motorcycle over 50cc and up to 125cc
2,B,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,22,Car
1,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Female,34,Car
1,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Female,15,Car
2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,50,Car
1,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Slight,Female,25,Car
1,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Male,29,Car
1,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Female,26,Car
2,Unclassified,Dry,Daylight: street lights present,Fine with high winds,Driver/Rider,Slight,Male,29,Car
2,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,30,Car
2,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,45,Car
2,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,80,Bus or coach (17 or more passenger seats)
2,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,75,Bus or coach (17 or more passenger seats)
2,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,74,Bus or coach (17 or more passenger seats)
2,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,90,Bus or coach (17 or more passenger seats)
2,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,53,Bus or coach (17 or more passenger seats)
1,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Female,19,Car
2,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Slight,Male,29,Motorcycle over 125cc and up to 500cc
2,Unclassified,Wet / Damp,Daylight: street lights present,Raining with high winds,Driver/Rider,Slight,Male,51,Goods vehicle 3.5 tonnes mgw and under
2,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,54,Car
2,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,30,Car
2,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,36,Pedal cycle
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,12,Car
1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,75,Bus or coach (17 or more passenger seats)
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,35,Car
2,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,45,Car
1,B,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,8,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,25,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,50,Car
2,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Male,12,Pedal cycle
2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,21,Pedal cycle
2,A,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Serious,Male,24,Motorcycle over 125cc and up to 500cc
2,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Male,65,Car
2,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Passenger,Slight,Male,62,Car
2,Motorway,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,47,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,18,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,20,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,48,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,11,Goods vehicle 3.5 tonnes mgw and under
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,32,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,22,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,22,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,22,Car
1,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,42,Car
2,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,58,Car
2,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,60,Car
2,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,53,Taxi/Private hire car
2,A,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Female,28,Car
2,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,22,Car
1,A,Wet / Damp,Daylight: street lights present,Raining with high winds,Pedestrian,Slight,Female,19,Goods vehicle 3.5 tonnes mgw and under
1,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Pedestrian,Slight,Male,22,Car
3,A,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Male,30,Car
1,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Slight,Female,79,Car
2,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Female,49,Pedal cycle
2,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Female,27,Car
2,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Female,60,Car
2,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Passenger,Slight,Male,39,Car
2,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Passenger,Slight,Male,9,Car
3,Motorway,Wet / Damp,Daylight: street lights present,Raining with high winds,Driver/Rider,Slight,Male,34,Car
1,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Male,22,Car
2,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Male,20,Car
1,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Serious,Male,81,Car
1,A,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Pedestrian,Slight,Female,21,Taxi/Private hire car
1,A,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Pedestrian,Slight,Female,21,Taxi/Private hire car
1,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Male,20,Car
1,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Passenger,Serious,Male,21,Car
2,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,30,Car
2,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,34,Car
2,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Male,9,Car
2,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,4,Car
2,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,53,Car
2,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,53,Car
2,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,23,Car
1,Unclassified,Wet / Damp,Daylight: street lights present,Raining with high winds,Pedestrian,Slight,Female,8,Bus or coach (17 or more passenger seats)
1,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Serious,Female,17,Car
1,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,5,Car
1,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,33,Car
1,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,39,Car
2,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,22,Car
2,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,19,Goods vehicle 3.5 tonnes mgw and under
2,A,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Male,44,Pedal cycle
3,A,Wet / Damp,Daylight: street lights present,Raining with high winds,Driver/Rider,Slight,Male,31,Goods vehicle 3.5 tonnes mgw and under
1,B,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,31,Bus or coach (17 or more passenger seats)
1,A,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Pedestrian,Slight,Female,3,Car
1,A,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Pedestrian,Slight,Female,4,Car
2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,27,Car
2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,30,Car
1,Motorway,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Male,32,Car
1,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,23,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,23,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,45,Bus or coach (17 or more passenger seats)
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,53,Bus or coach (17 or more passenger seats)
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,36,Bus or coach (17 or more passenger seats)
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,43,Bus or coach (17 or more passenger seats)
2,Unclassified,Wet / Damp,Daylight: street lights present,Raining with high winds,Driver/Rider,Serious,Male,47,Pedal cycle
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,55,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,26,Car
1,Unclassified,Wet / Damp,Daylight: street lights present,Raining with high winds,Pedestrian,Serious,Female,83,Car
2,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,17,Pedal cycle
1,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Pedestrian,Slight,Female,46,Car
2,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Slight,Female,24,Car
